hhid	pid	service	knows_service	used_service	freq_use	daily_msg_call
1274003.0	1	11	1	1	1	1
1274003.0	1	12	1	2		1
1274029.0	1	1	1	1	1	2
1274029.0	1	2	1	1	4	2
1274029.0	1	3	1	1	2	2
1274029.0	1	5	1	1	8	2
1274029.0	1	6	1	1	8	2
1274029.0	1	7	1	2		2
1274029.0	1	8	1	2		2
1274029.0	1	9	1	2		2
1274029.0	1	10	1	2		2
1274029.0	1	11	1	1	1	2
1274029.0	1	12	1	2		2
1274016.0	2	1	1	1	1	1
1274016.0	2	2	1	1	4	1
1274016.0	2	3	1	1	4	1
1274016.0	2	4	1	2		1
1274016.0	2	5	1	2		1
1274016.0	2	6	1	2		1
1274016.0	2	7	1	2		1
1274016.0	2	8	1	2		1
1274016.0	2	9	1	2		1
1274016.0	2	10	1	2		1
1274016.0	2	11	1	1	1	1
1274016.0	2	12	1	2		1
1274042.0	1	1	1	1	2	3
1274042.0	1	2	1	2		3
1274042.0	1	3	1	1	4	3
1274042.0	1	5	1	2		3
1274042.0	1	6	1	2		3
1274042.0	1	8	1	2		3
1274042.0	1	11	1	2		3
1274021.0	2	1	1	1	6	0
1274021.0	2	2	1	2		0
1274021.0	2	3	1	2		0
1274021.0	2	5	1	2		0
1274021.0	2	6	1	2		0
1274021.0	2	8	1	2		0
1274021.0	2	9	1	2		0
1274021.0	2	11	1	2		0
1274068.0	1	1	1	1	2	0
1274068.0	1	2	1	2		0
1274068.0	1	3	1	2		0
1274068.0	1	5	1	2		0
1274068.0	1	6	1	2		0
1274068.0	1	11	1	1	4	0
1274034.0	2	1	1	1	2	2
1274034.0	2	2	1	1	4	2
1274034.0	2	5	1	2		2
1274034.0	2	6	1	2		2
1274034.0	2	8	1	2		2
1274034.0	2	11	1	2		2
1274107.0	2	1	1	1	2	0
1274107.0	2	2	1	1	5	0
1274107.0	2	3	1	2		0
1274107.0	2	5	1	2		0
1274107.0	2	6	1	2		0
1274107.0	2	11	1	2		0
1275005.0	2	1	1	1	1	0
1275005.0	2	2	1	1	3	0
1275005.0	2	3	1	1	4	0
1275005.0	2	4	1	2		0
1275005.0	2	5	1	1	5	0
1275005.0	2	6	1	1	3	0
1275005.0	2	7	1	1	6	0
1275005.0	2	8	1	1	8	0
1275005.0	2	9	1	2		0
1275005.0	2	10	1	1	8	0
1275005.0	2	11	1	1	2	0
1275005.0	2	12	1	2		0
1275061.0	1	1	1	1	1	5
1275061.0	1	2	1	1	4	5
1275061.0	1	3	1	1	2	5
1275061.0	1	4	1	1	3	5
1275061.0	1	5	1	1	1	5
1275061.0	1	6	1	1	2	5
1275061.0	1	7	1	1	2	5
1275061.0	1	8	1	1	2	5
1275061.0	1	11	1	1	1	5
1275061.0	1	12	1	2		5
1276132.0	2	1	1	1	1	1
1276132.0	2	2	1	1	4	1
1276132.0	2	3	1	1	4	1
1276132.0	2	4	1	2		1
1276132.0	2	5	1	2		1
1276132.0	2	6	1	2		1
1276132.0	2	7	1	2		1
1276132.0	2	8	1	2		1
1276132.0	2	9	1	2		1
1276132.0	2	10	1	2		1
1276132.0	2	11	1	2		1
1276132.0	2	12	1	2		1
1276064.0	1	1	1	1	1	1
1276064.0	1	2	1	2		1
1276064.0	1	3	1	2		1
1276064.0	1	5	1	2		1
1276064.0	1	6	1	1	3	1
1276064.0	1	7	1	2		1
1276064.0	1	8	1	2		1
1276064.0	1	9	1	2		1
1276064.0	1	10	1	2		1
1276064.0	1	11	1	1	1	1
1276064.0	1	12	1	2		1
1276078.0	2	1	1	1	1	0
1276078.0	2	2	1	1	4	0
1276078.0	2	3	1	1	2	0
1276078.0	2	6	1	1	1	0
1276078.0	2	8	1	2		0
1276078.0	2	11	1	1	1	0
1276037.0	1	1	1	1	1	1
1276037.0	1	2	1	1	3	1
1276037.0	1	3	1	1	8	1
1276037.0	1	5	1	2		1
1276037.0	1	6	1	2		1
1276037.0	1	10	1	2		1
1276037.0	1	11	1	2		1
1276037.0	1	12	1	2		1
1276024.0	1	1	1	1	1	2
1276024.0	1	2	1	1	4	2
1276024.0	1	3	1	2		2
1276024.0	1	5	1	1	8	2
1276024.0	1	6	1	1	8	2
1276024.0	1	7	1	2		2
1276024.0	1	8	1	2		2
1276024.0	1	9	1	2		2
1276024.0	1	10	1	1	8	2
1276024.0	1	11	1	1	3	2
1276024.0	1	12	1	2		2
1276118.0	1	1	1	2		0
1276118.0	1	6	1	2		0
1276118.0	1	10	1	2		0
1276118.0	1	11	1	2		0
1276010.0	1	1	1	1	1	0
1276010.0	1	2	1	1	1	0
1276010.0	1	3	1	1	8	0
1276010.0	1	4	1	1	8	0
1276010.0	1	5	1	1	4	0
1276010.0	1	6	1	1	3	0
1276010.0	1	7	1	1	4	0
1276010.0	1	8	1	1	5	0
1276010.0	1	9	1	1	8	0
1276010.0	1	10	1	1	8	0
1276010.0	1	11	1	1	2	0
1276010.0	1	12	1	1	8	0
1276051.0	2	1	1	1	1	1
1276051.0	2	2	1	2		1
1276051.0	2	3	1	1	3	1
1276051.0	2	5	1	2		1
1276051.0	2	6	1	1	8	1
1276051.0	2	7	1	2		1
1276051.0	2	8	1	2		1
1276051.0	2	9	1	2		1
1276051.0	2	10	1	2		1
1276051.0	2	11	1	2		1
1276051.0	2	12	1	2		1
1276033.0	1	1	1	1	1	0
1276033.0	1	2	1	1	5	0
1276033.0	1	3	1	1	2	0
1276033.0	1	4	1	2		0
1276033.0	1	6	1	1	1	0
1276033.0	1	7	1	2		0
1276033.0	1	11	1	1	1	0
1280039.0	1	1	1	1	4	0
1280039.0	1	2	1	1	2	0
1280039.0	1	3	1	2		0
1280039.0	1	4	1	2		0
1280039.0	1	5	1	2		0
1280039.0	1	6	1	1	8	0
1280039.0	1	11	1	2		0
1280033.0	1	1	1	1	1	1
1280033.0	1	2	1	1	4	1
1280033.0	1	3	1	1	2	1
1280033.0	1	5	1	2		1
1280033.0	1	6	1	2		1
1280033.0	1	7	1	2		1
1280033.0	1	8	1	2		1
1280033.0	1	11	1	2		1
1280033.0	1	12	1	2		1
1280019.0	1	1	1	1	1	1
1280019.0	1	5	1	2		1
1280019.0	1	6	1	1	8	1
1280019.0	1	7	1	2		1
1280019.0	1	10	1	2		1
1280019.0	1	11	1	2		1
1280041.0	1	1	1	1	2	4
1280041.0	1	3	1	2		4
1280041.0	1	6	1	1	1	4
1280041.0	1	8	1	2		4
1280041.0	1	11	1	2		4
1280006.0	1	1	1	1	2	2
1280006.0	1	3	1	1	5	2
1280006.0	1	5	1	2		2
1280006.0	1	7	1	2		2
1280006.0	1	11	1	2		2
1280064.0	2	1	1	1	2	0
1280064.0	2	2	1	2		0
1280064.0	2	3	1	1	4	0
1280064.0	2	6	1	2		0
1280064.0	2	8	1	2		0
1280064.0	2	11	1	1	5	0
1280053.0	2	1	1	1	2	4
1280053.0	2	2	1	2		4
1280053.0	2	3	1	1	4	4
1280053.0	2	5	1	2		4
1280053.0	2	6	1	1	2	4
1280053.0	2	8	1	2		4
1280053.0	2	11	1	2		4
1282062.0	1	1	1	1	1	3
1282062.0	1	2	1	1	2	3
1282062.0	1	3	1	2		3
1282062.0	1	4	1	2		3
1282062.0	1	5	1	1	4	3
1282062.0	1	6	1	1	6	3
1282062.0	1	11	1	1	7	3
1282078.0	1	1	1	1	2	2
1282078.0	1	2	1	1	4	2
1282078.0	1	3	1	1	5	2
1282078.0	1	4	1	2		2
1282078.0	1	5	1	2		2
1282078.0	1	6	1	1	7	2
1282078.0	1	7	1	2		2
1282078.0	1	8	1	2		2
1282078.0	1	9	1	2		2
1282078.0	1	10	1	2		2
1282078.0	1	11	1	2		2
1282078.0	1	12	1	2		2
1282036.0	1	1	1	1	1	2
1282036.0	1	2	1	1	5	2
1282036.0	1	3	1	2		2
1282036.0	1	4	1	2		2
1282036.0	1	5	1	1	1	2
1282036.0	1	6	1	1	1	2
1282036.0	1	7	1	2		2
1282036.0	1	8	1	1	1	2
1282036.0	1	9	1	2		2
1282036.0	1	10	1	2		2
1282036.0	1	11	1	1	1	2
1282036.0	1	12	1	2		2
1282003.0	3	1	1	1	2	0
1282003.0	3	2	1	1	7	0
1282003.0	3	3	1	2		0
1282003.0	3	5	1	1	4	0
1282003.0	3	6	1	2		0
1282003.0	3	8	1	2		0
1282003.0	3	9	1	2		0
1282003.0	3	11	1	1	1	0
1282003.0	3	12	1	1	7	0
1282011.0	1	1	1	2		3
1282011.0	1	2	1	2		3
1282011.0	1	3	1	1	3	3
1282011.0	1	5	1	2		3
1282011.0	1	6	1	1	1	3
1282011.0	1	7	1	2		3
1282011.0	1	8	1	2		3
1282011.0	1	11	1	1	1	3
1282020.0	1	1	1	1	2	1
1282020.0	1	2	1	1	4	1
1282020.0	1	3	1	1	8	1
1282020.0	1	5	1	1	5	1
1282020.0	1	6	1	1	1	1
1282020.0	1	7	1	2		1
1282020.0	1	8	1	2		1
1282020.0	1	9	1	2		1
1282020.0	1	10	1	2		1
1282020.0	1	11	1	1	1	1
1282070.0	1	1	1	1	1	0
1282070.0	1	2	1	1	3	0
1282070.0	1	3	1	2		0
1282070.0	1	4	1	2		0
1282070.0	1	5	1	2		0
1282070.0	1	6	1	2		0
1282070.0	1	7	1	2		0
1282070.0	1	8	1	2		0
1282070.0	1	9	1	2		0
1282070.0	1	10	1	2		0
1282070.0	1	11	1	1	2	0
1282070.0	1	12	1	2		0
1282045.0	1	1	1	1	6	1
1282045.0	1	2	1	1	4	1
1282045.0	1	3	1	1	4	1
1282045.0	1	4	1	2		1
1282045.0	1	5	1	2		1
1282045.0	1	6	1	1	1	1
1282045.0	1	7	1	2		1
1282045.0	1	8	1	2		1
1282045.0	1	9	1	2		1
1282045.0	1	10	1	2		1
1282045.0	1	11	1	2		1
1282045.0	1	12	1	2		1
1282028.0	1	1	1	2		0
1282028.0	1	2	1	2		0
1282028.0	1	3	1	1	4	0
1282028.0	1	5	1	2		0
1282028.0	1	6	1	2		0
1282028.0	1	7	1	2		0
1282028.0	1	8	1	2		0
1282028.0	1	9	1	2		0
1282028.0	1	11	1	2		0
1283033.0	2	1	1	1	6	1
1283033.0	2	2	1	2		1
1283033.0	2	5	1	2		1
1283033.0	2	6	1	1	8	1
1283033.0	2	8	1	2		1
1283033.0	2	11	1	2		1
1283046.0	1	1	1	1	1	0
1283046.0	1	2	1	1	3	0
1283046.0	1	3	1	1	3	0
1283046.0	1	5	1	2		0
1283046.0	1	6	1	1	8	0
1283046.0	1	7	1	2		0
1283046.0	1	8	1	2		0
1283046.0	1	9	1	2		0
1283046.0	1	10	1	1	8	0
1283046.0	1	11	1	2		0
1283046.0	1	12	1	2		0
1283020.0	1	1	1	1	1	2
1283020.0	1	2	1	1	4	2
1283020.0	1	3	1	1	3	2
1283020.0	1	5	1	1	8	2
1283020.0	1	6	1	1	8	2
1283020.0	1	7	1	1	8	2
1283020.0	1	8	1	2		2
1283020.0	1	10	1	1	8	2
1283020.0	1	11	1	1	4	2
1283086.0	2	1	1	1	2	3
1283086.0	2	2	1	2		3
1283086.0	2	3	1	1	4	3
1283086.0	2	6	1	2		3
1283086.0	2	11	1	2		3
1283072.0	2	1	1	1	1	0
1283072.0	2	2	1	2		0
1283072.0	2	3	1	2		0
1283072.0	2	5	1	2		0
1283072.0	2	6	1	2		0
1283072.0	2	11	1	2		0
1283006.0	2	1	1	1	3	0
1283006.0	2	2	1	2		0
1283006.0	2	3	1	2		0
1283006.0	2	4	1	2		0
1283006.0	2	5	1	2		0
1283006.0	2	6	1	2		0
1283006.0	2	7	1	2		0
1283006.0	2	8	1	2		0
1283006.0	2	9	1	2		0
1283006.0	2	10	1	2		0
1283006.0	2	11	1	1	4	0
1283099.0	1	1	1	1	6	0
1283099.0	1	2	1	1	99	0
1283099.0	1	3	1	1	4	0
1283099.0	1	5	1	2		0
1283099.0	1	6	1	2		0
1283099.0	1	7	1	2		0
1283099.0	1	8	1	2		0
1283099.0	1	11	1	1	1	0
1283125.0	2	1	1	1	2	1
1283125.0	2	2	1	1	5	1
1283125.0	2	3	1	2		1
1283125.0	2	5	1	2		1
1283125.0	2	6	1	1	2	1
1283125.0	2	8	1	2		1
1283125.0	2	11	1	2		1
1284047.0	2	1	1	1	3	0
1284047.0	2	2	1	2		0
1284047.0	2	3	1	2		0
1284047.0	2	4	1	2		0
1284047.0	2	5	1	2		0
1284047.0	2	6	1	1	4	0
1284047.0	2	7	1	2		0
1284047.0	2	11	1	1	2	0
1284010.0	1	1	1	1	4	2
1284010.0	1	2	1	2		2
1284010.0	1	3	1	1	3	2
1284010.0	1	4	1	2		2
1284010.0	1	5	1	2		2
1284010.0	1	6	1	2		2
1284010.0	1	7	1	2		2
1284010.0	1	8	1	2		2
1284010.0	1	9	1	2		2
1284010.0	1	10	1	2		2
1284010.0	1	11	1	2		2
1284010.0	1	12	1	2		2
1284035.0	1	1	1	1	4	2
1284035.0	1	2	1	1	4	2
1284035.0	1	3	1	1	4	2
1284035.0	1	5	1	2		2
1284035.0	1	6	1	1	4	2
1284035.0	1	7	1	2		2
1284035.0	1	8	1	2		2
1284035.0	1	9	1	2		2
1284035.0	1	10	1	1	8	2
1284035.0	1	11	1	1	8	2
1284084.0	1	1	1	1	2	4
1284084.0	1	2	1	1	4	4
1284084.0	1	3	1	1	7	4
1284084.0	1	4	1	2		4
1284084.0	1	5	1	2		4
1284084.0	1	6	1	2		4
1284084.0	1	7	1	2		4
1284084.0	1	11	1	2		4
1284072.0	2	1	1	1	1	0
1284072.0	2	2	1	1	8	0
1284072.0	2	3	1	1	5	0
1284072.0	2	4	1	2		0
1284072.0	2	5	1	2		0
1284072.0	2	6	1	2		0
1284072.0	2	7	1	2		0
1284072.0	2	8	1	2		0
1284072.0	2	11	1	1	2	0
1284060.0	1	1	1	1	3	5
1284060.0	1	2	1	1	4	5
1284060.0	1	3	1	1	6	5
1284060.0	1	5	1	2		5
1284060.0	1	6	1	1	3	5
1284060.0	1	8	1	2		5
1284060.0	1	11	1	2		5
1284109.0	1	1	1	1	1	0
1284109.0	1	2	1	1	4	0
1284109.0	1	3	1	1	8	0
1284109.0	1	5	1	1	5	0
1284109.0	1	6	1	1	1	0
1284109.0	1	7	1	1	5	0
1284109.0	1	8	1	2		0
1284109.0	1	11	1	1	4	0
1284122.0	2	1	1	1	2	0
1284122.0	2	2	1	1	4	0
1284122.0	2	3	1	2		0
1284122.0	2	4	1	2		0
1284122.0	2	5	1	2		0
1284122.0	2	6	1	1	2	0
1284122.0	2	7	1	2		0
1284122.0	2	8	1	2		0
1284122.0	2	9	1	2		0
1284122.0	2	10	1	2		0
1284122.0	2	11	1	1	3	0
1284122.0	2	12	1	2		0
1284097.0	2	1	1	1	1	0
1284097.0	2	2	1	1	4	0
1284097.0	2	6	1	1	1	0
1284097.0	2	11	1	1	1	0
1284022.0	1	1	1	1	1	1
1284022.0	1	2	1	1	4	1
1284022.0	1	3	1	1	8	1
1284022.0	1	4	1	2		1
1284022.0	1	5	1	1	6	1
1284022.0	1	6	1	1	8	1
1284022.0	1	7	1	1	6	1
1284022.0	1	8	1	1	8	1
1284022.0	1	9	1	2		1
1284022.0	1	10	1	1	8	1
1284022.0	1	11	1	1	5	1
1284022.0	1	12	1	2		1
1294014.0	1	1	1	1	8	0
1294014.0	1	3	1	1	4	0
1294014.0	1	6	1	1	5	0
1294014.0	1	7	1	1	6	0
1294014.0	1	8	1	1	3	0
1294082.0	2	1	1	1	1	2
1294082.0	2	2	1	2		2
1294082.0	2	3	1	1	3	2
1294082.0	2	5	1	1	1	2
1294082.0	2	6	1	1	1	2
1294082.0	2	7	1	2		2
1294082.0	2	10	1	1	1	2
1294082.0	2	11	1	1	1	2
1294055.0	2	1	1	1	8	1
1294055.0	2	2	1	2		1
1294055.0	2	3	1	1	8	1
1294055.0	2	5	1	2		1
1294055.0	2	6	1	1	2	1
1294055.0	2	10	1	1	5	1
1294055.0	2	11	1	2		1
1294096.0	1	1	1	1	6	0
1294096.0	1	2	1	1	1	0
1294096.0	1	3	1	1	1	0
1294096.0	1	5	1	1	1	0
1294096.0	1	6	1	1	1	0
1294096.0	1	7	1	1	1	0
1294096.0	1	8	1	1	4	0
1294096.0	1	9	1	1	4	0
1294096.0	1	10	1	1	1	0
1294096.0	1	11	1	1	1	0
1294096.0	1	12	1	1	3	0
1294123.0	1	1	1	1	1	1
1294123.0	1	2	1	1	8	1
1294123.0	1	3	1	1	6	1
1294123.0	1	4	1	2		1
