hhid	pid	mpesa_money_use
1540033.0	1	1
1540022.0	1	1
794027.0	1	3
794056.0	1	3
805023.0	1	3
805041.0	1	3
805093.0	1	1
1651107.0	1	1
1651150.0	1	3
1652005.0	1	1
1653025.0	1	1
1653145.0	1	3
1653100.0	1	1
1653040.0	1	3
1654050.0	1	1
1654005.0	1	1
1654110.0	1	3
1654020.0	1	3
1655035.0	1	1
1656039.0	1	1
1656079.0	1	3
1743074.0	1	3
1743082.0	1	1
1743033.0	1	3
1744027.0	1	3
1744005.0	1	3
1744041.0	1	3
842033.0	1	2
1661009.0	1	3
1661016.0	1	99
1661023.0	1	3
843083.0	1	1
843018.0	1	3
843057.0	1	3
843019.0	1	3
849058.0	1	3
849068.0	1	1
849008.0	1	99
1662071.0	1	3
1662142.0	1	3
1662046.0	1	3
1662097.0	1	1
1662122.0	1	3
1665028.0	1	3
1665018.0	1	1
1664024.0	1	3
1664054.0	1	4
867037.0	1	1
1669013.0	1	1
1669091.0	1	1
1670033.0	1	1
1671051.0	1	3
1671008.0	1	1
1671077.0	1	3
1672019.0	1	3
1674008.0	1	3
1674037.0	1	1
1674077.0	1	1
1674018.0	1	3
885065.0	1	1
1678041.0	1	1
1678070.0	1	1
1678013.0	1	1
910082.0	1	1
1682026.0	1	1
944062.0	1	1
1687016.0	1	1
1687032.0	1	1
1687166.0	1	1
1687116.0	1	1
1688003.0	1	3
1688072.0	1	1
1688030.0	1	1
1690110.0	1	3
1690069.0	1	1
1690086.0	1	1
1690074.0	1	1
1691096.0	1	1
1691106.0	1	1
1691052.0	1	1
1692145.0	1	3
1692063.0	1	1
1692031.0	1	3
1693168.0	1	1
1693095.0	1	3
1696002.0	1	3
1696032.0	1	3
1696065.0	1	1
1696022.0	1	1
1697019.0	1	3
1703033.0	1	1
1703067.0	1	1
1704024.0	1	1
1705077.0	1	1
988111.0	1	1
988065.0	1	3
1036001.0	1	3
1719025.0	1	1
1719051.0	1	1
1733099.0	1	3
1733033.0	1	1
1733078.0	1	3
1134011.0	1	1
1755102.0	1	1
1755039.0	1	1
1755081.0	1	3
1757129.0	1	1
1757143.0	1	1
1757042.0	1	3
1757027.0	1	3
1759030.0	1	3
1759064.0	1	1
1759132.0	1	3
1760007.0	1	1
1760118.0	1	1
1760150.0	1	1
1760071.0	1	3
1760023.0	1	1
1761009.0	1	3
1761017.0	1	3
1761001.0	1	1
1761104.0	1	1
1761056.0	1	3
1194010.0	1	1
1194088.0	1	1
1769045.0	1	3
1769049.0	1	3
1769013.0	1	1
1771079.0	1	1
1771114.0	1	1
1772026.0	1	3
1772048.0	1	3
1772070.0	1	3
1772062.0	1	1
1202082.0	1	1
1202074.0	1	3
1202014.0	1	3
1781004.0	1	3
1226052.0	1	3
1226008.0	1	3
1226012.0	1	1
1226007.0	1	1
1226024.0	1	1
1240055.0	1	1
1240070.0	1	3
1787071.0	1	3
1787002.0	1	1
1787099.0	1	1
1787030.0	1	3
1790044.0	1	3
1790083.0	1	1
1790054.0	1	1
1790005.0	1	1
1791060.0	1	1
1791003.0	1	3
1791088.0	1	3
748074.0	1	1
748058.0	1	1
748028.0	1	1
748129.0	1	3
1635001.0	1	1
1635026.0	1	3
1636031.0	1	3
1636019.0	1	3
1637067.0	1	3
1637049.0	1	3
1637085.0	1	3
1637076.0	1	1
1638004.0	1	3
1638035.0	1	3
1638025.0	1	3
1565035.0	1	3
1565073.0	1	3
1565020.0	1	1
1565050.0	1	1
1566067.0	1	3
1567009.0	1	1
1567039.0	1	3
1567053.0	1	3
1568061.0	1	1
1568067.0	1	3
1568040.0	1	3
1568054.0	1	3
1569030.0	1	1
1570123.0	1	1
618058.0	1	99
618048.0	1	3
618028.0	1	3
1575116.0	1	3
1575147.0	1	3
1575132.0	1	1
1575053.0	1	1
1575038.0	1	1
1575006.0	1	1
1575022.0	1	3
1576028.0	1	1
1576015.0	1	3
1577077.0	1	3
1577017.0	1	3
1578095.0	1	3
670083.0	1	1
670064.0	1	1
670035.0	1	1
1613051.0	1	1
1613020.0	1	3
1614004.0	1	1
1614058.0	1	1
1614016.0	1	1
1614022.0	1	1
1615034.0	1	1
1615057.0	1	1
1615089.0	1	1
1592022.0	1	3
1592089.0	1	1
1593059.0	1	1
1594002.0	1	1
1594030.0	1	3
1595084.0	1	3
1596028.0	1	3
1596037.0	1	1
638036.0	1	3
638009.0	1	3
638091.0	1	3
1603075.0	1	1
1603012.0	1	1
1604005.0	1	1
1604066.0	1	3
649076.0	1	1
1607054.0	1	3
1607035.0	1	3
1607063.0	1	1
1607082.0	1	3
1607092.0	1	3
1608058.0	1	3
1608050.0	1	3
1608073.0	1	3
1608042.0	1	3
1608011.0	1	1
660041.0	1	1
660035.0	1	1
660012.0	1	1
1612018.0	1	1
1619056.0	1	3
1619038.0	1	1
1619003.0	1	1
1619082.0	1	3
1619047.0	1	1
732025.0	1	1
1630010.0	1	3
1630052.0	1	1
1630084.0	1	99
1623026.0	1	1
1623012.0	1	1
1624029.0	1	3
1624016.0	1	3
1624002.0	1	1
1625004.0	1	1
1625010.0	1	1
1626012.0	1	1
1626026.0	1	3
1626005.0	1	1
1626047.0	1	1
1626061.0	1	1
1626068.0	1	1
1627068.0	1	3
1627014.0	1	1
1628039.0	1	99
1628061.0	1	3
1628042.0	1	1
1628006.0	1	3
1628003.0	1	3
718040.0	1	3
1428132.0	1	4
1428062.0	1	1
210109.0	1	1
210011.0	1	1
210060.0	1	1
211051.0	1	1
211001.0	1	1
265005.0	1	1
1476029.0	1	1
1476045.0	1	1
1477013.0	1	1
1477050.0	1	1
1478017.0	1	1
1479052.0	1	1
1479079.0	1	3
1481006.0	1	1
1481065.0	1	3
1482101.0	1	1
1482117.0	1	1
1433062.0	1	1
1433079.0	1	3
1433027.0	1	3
1434029.0	1	3
1435044.0	1	1
1435020.0	1	1
1435061.0	1	3
1436008.0	1	1
1436077.0	1	4
1436047.0	1	2
1436086.0	1	1
1437047.0	1	2
1437024.0	1	1
1438104.0	1	3
1439018.0	1	3
1439087.0	1	3
1445051.0	1	1
1445060.0	1	1
1445043.0	1	1
1446057.0	1	3
1446049.0	1	3
1446041.0	1	1
1440005.0	1	3
1440009.0	1	1
1449046.0	1	3
1449056.0	1	3
1449066.0	1	3
1451053.0	1	3
1451036.0	1	3
1451001.0	1	3
1451009.0	1	3
1456066.0	1	1
1456037.0	1	1
1456029.0	1	1
1453025.0	1	1
222045.0	1	1
222003.0	1	3
222070.0	1	1
1465115.0	1	3
1465044.0	1	3
1466061.0	1	1
1466068.0	1	3
1466005.0	1	1
1466054.0	1	1
237014.0	1	1
1469070.0	1	1
1469026.0	1	1
1469088.0	1	1
1470004.0	1	1
1470015.0	1	3
1470005.0	1	1
1471047.0	1	3
1471018.0	1	1
1471003.0	1	3
1620004.0	1	1
1620011.0	1	1
1620031.0	1	3
1620044.0	1	1
1265050.0	2	3
1269028.0	2	1
1270025.0	2	3
1270073.0	2	3
1274016.0	2	3
1274034.0	2	1
1274107.0	2	3
1275005.0	2	3
1284097.0	2	1
1294109.0	2	1
1297013.0	2	1
1298117.0	2	3
1298010.0	2	1
1298064.0	2	1
1299134.0	2	1
1300025.0	2	99
1302010.0	2	1
1302041.0	2	1
1305084.0	2	1
1334037.0	2	1
1335024.0	2	1
1336059.0	2	1
1348077.0	2	3
1348049.0	2	1
1348031.0	2	3
1351018.0	2	1
1261090.0	2	3
1262047.0	2	2
1290035.0	2	1
1290019.0	2	1
1290046.0	2	99
1290003.0	2	1
1310017.0	2	1
1311035.0	2	1
7134.0	2	1
11125.0	2	3
15076.0	2	3
15100.0	2	1
15088.0	2	1
1376078.0	2	1
1376006.0	2	99
1377025.0	2	3
1377004.0	2	1
12026.0	2	3
1370040.0	2	1
1370001.0	2	3
29095.0	2	1
1384002.0	2	1
28002.0	2	1
141021.0	2	3
146016.0	2	3
146037.0	2	1
147053.0	2	1
1386036.0	2	1
1386055.0	2	1
1388041.0	2	1
1389041.0	2	3
1389017.0	2	1
112068.0	2	1
112018.0	2	1
1394060.0	2	1
1395029.0	2	1
1395033.0	2	1
1395014.0	2	1
1395009.0	2	3
1395043.0	2	1
1395024.0	2	1
1397025.0	2	1
1397045.0	2	1
1397085.0	2	1
1399057.0	2	3
1399041.0	2	1
1401046.0	2	1
1401038.0	2	1
1402085.0	2	1
1402073.0	2	1
1398003.0	2	1
1398081.0	2	3
138107.0	2	3
138009.0	2	3
1407064.0	2	3
1408086.0	2	1
1409027.0	2	3
1413004.0	2	3
1413069.0	2	1
1413096.0	2	1
1485030.0	2	3
1487103.0	2	1
1488016.0	2	3
1490042.0	2	3
290001.0	2	3
291057.0	2	3
1495019.0	2	3
1495006.0	2	1
1495071.0	2	1
1496011.0	2	1
1497041.0	2	3
1498010.0	2	3
1503081.0	2	3
1504073.0	2	3
1504083.0	2	3
1507028.0	2	1
1512005.0	2	1
1500094.0	2	1
1526011.0	2	3
1526106.0	2	3
1526043.0	2	1
1533109.0	2	1
1533007.0	2	1
1649041.0	2	3
1650061.0	2	1
1652008.0	2	3
1655063.0	2	3
1655049.0	2	1
1656012.0	2	1
1656133.0	2	3
1744070.0	2	3
1661049.0	2	3
1661007.0	2	1
1661042.0	2	3
1662172.0	2	3
1665009.0	2	3
1665037.0	2	3
1664002.0	2	3
1664069.0	2	1
867087.0	2	3
1670187.0	2	3
1670110.0	2	3
1678089.0	2	1
1682015.0	2	1
1682095.0	2	1
944043.0	2	1
945110.0	2	3
1687099.0	2	1
1691009.0	2	99
1693077.0	2	3
1693004.0	2	3
1696013.0	2	1
1696052.0	2	3
1697106.0	2	3
1697095.0	2	3
1703048.0	2	3
1706039.0	2	1
1706085.0	2	3
988060.0	2	3
1036065.0	2	1
1134128.0	2	1
1759098.0	2	3
1760087.0	2	3
1761068.0	2	3
1180007.0	2	1
1180095.0	2	3
1770024.0	2	3
1770075.0	2	1
1772012.0	2	1
1780074.0	2	1
1780084.0	2	1
1787113.0	2	1
1787016.0	2	3
1790063.0	2	3
1791074.0	2	1
1791103.0	2	1
1791121.0	2	1
748013.0	2	1
1635067.0	2	99
1635009.0	2	1
1636003.0	2	1
1567141.0	2	1
1569006.0	2	1
1570031.0	2	3
618088.0	2	3
1575100.0	2	1
1576009.0	2	1
1576022.0	2	1
1578015.0	2	1
1578053.0	2	1
1613032.0	2	1
1592051.0	2	1
1592041.0	2	1
1592061.0	2	3
1593058.0	2	99
1593072.0	2	3
1595063.0	2	3
1595055.0	2	3
1596045.0	2	3
1604048.0	2	1
649086.0	2	1
649043.0	2	1
1607016.0	2	1
660027.0	2	3
1612055.0	2	1
1612063.0	2	3
1612033.0	2	3
1612070.0	2	1
1619073.0	2	1
1619012.0	2	1
1630042.0	2	1
1624023.0	2	1
1624009.0	2	1
1626040.0	2	3
1627044.0	2	1
1627029.0	2	3
1627022.0	2	3
1427002.0	2	1
210035.0	2	1
1479093.0	2	1
1479024.0	2	3
1482068.0	2	99
1433018.0	2	3
1435003.0	2	1
1437080.0	2	1
1438110.0	2	3
1438069.0	2	1
1439098.0	2	3
1446074.0	2	1
1450002.0	2	1
1450079.0	2	1
1450061.0	2	1
1451062.0	2	3
222028.0	2	3
1465151.0	2	1
1465169.0	2	1
1466026.0	2	3
1471010.0	2	1
1620065.0	2	3
1335012.0	3	3
1356039.0	3	3
1262085.0	3	3
1262077.0	3	3
15017.0	3	1
2097.0	3	3
146083.0	3	1
1395048.0	3	1
1402012.0	3	1
1412046.0	3	3
1484085.0	3	3
1504010.0	3	1
1508055.0	3	3
1655119.0	3	3
842020.0	3	1
1661056.0	3	3
1684048.0	3	3
1696023.0	3	3
1696090.0	3	3
1705069.0	3	1
1754076.0	3	3
1770165.0	3	3
1772019.0	3	3
1787058.0	3	1
1596004.0	3	1
1630105.0	3	3
1627053.0	3	3
210097.0	3	1
1438023.0	3	1
1439110.0	3	1
1470013.0	3	1
1471025.0	3	1
1471054.0	3	1
1338018.0	4	1
1498003.0	4	3
1498062.0	4	3
944063.0	4	3
1758057.0	4	1
1451018.0	4	1
1453015.0	4	3
1338003.0	5	1
53049.0	5	1
1495084.0	5	3
1437092.0	5	3
1440002.0	5	1
1453089.0	5	1
1453078.0	7	1
