hhid	pid	mpesa_user	service	mpesa_service_importance	mpesa_service_freq
1300005.0	1	1	8	0	4
1300005.0	1	1	3	1	8
1300005.0	1	1	4	2	8
1300005.0	1	1	7	3	8
1300005.0	1	1	1	4	1
1300005.0	1	1	2	5	1
1300066.0	1	1	8	1	5
1300066.0	1	1	3	2	5
1300066.0	1	1	4	3	5
1300066.0	1	1	1	4	4
1300036.0	1	1	3	1	4
1302023.0	1	1	3	1	4
1302023.0	1	1	4	2	8
1302023.0	1	1	2	3	2
1302023.0	1	1	7	4	8
1302002.0	1	2	4	1	8
1302035.0	1	1	3	1	4
1302035.0	1	1	4	2	8
1302004.0	1	1	3	1	4
1302004.0	1	1	4	2	4
1302017.0	1	1	3	1	4
1302017.0	1	1	4	2	4
1302017.0	1	1	1	3	1
1302017.0	1	1	2	4	3
1302017.0	1	1	8	5	4
1303026.0	1	1	4	1	8
1303040.0	1	1	3	1	8
1303040.0	1	1	1	2	2
1303040.0	1	1	8	3	4
1303036.0	1	1	3	1	4
1303036.0	1	1	4	2	8
1304035.0	1	2	99		
1304033.0	1	1	99		
1304067.0	1	1	99		
1304056.0	1	1	99		
1304025.0	1	1	99		
1304049.0	1	1	99		
1305098.0	1	1	7	1	2
1305098.0	1	1	1	2	1
1305098.0	1	1	8	3	4
1305074.0	1	1	7	1	4
1305074.0	1	1	3	2	8
1305074.0	1	1	1	3	8
1305074.0	1	1	4	4	8
1305074.0	1	1	2	5	8
1305074.0	1	1	8	6	4
1305003.0	1	2	4	1	8
1305023.0	1	1	3	1	4
1305023.0	1	1	4	2	4
1305023.0	1	1	8	3	4
1305023.0	1	1	1	4	4
1305023.0	1	1	2	5	4
1305034.0	1	1	4	1	3
1305094.0	1	2	3	1	8
1305094.0	1	2	4	2	8
1305064.0	1	1	4	1	3
1305064.0	1	1	3	2	4
1308033.0	1	1	5	1	8
1308033.0	1	1	1	2	8
1308033.0	1	1	8	3	4
1308028.0	1	1	4	1	4
1308028.0	1	1	3	2	4
1308028.0	1	1	1	3	4
1308028.0	1	1	8	4	4
1308022.0	1	1	3	0	5
1308022.0	1	1	8	0	4
1308022.0	1	1	4	1	5
1308022.0	1	1	1	2	3
1308022.0	1	1	2	3	5
1308022.0	1	1	7	4	2
1308017.0	1	1	4	1	4
1308017.0	1	1	3	2	4
1308017.0	1	1	6	3	4
1308017.0	1	1	1	4	4
1308017.0	1	1	8	5	4
1309008.0	1	1	3	1	2
1309008.0	1	1	4	2	4
1309008.0	1	1	7	3	2
1309008.0	1	1	1	4	1
1309008.0	1	1	2	5	2
1309008.0	1	1	8	6	4
1309027.0	1	2	3	1	3
1309027.0	1	2	4	2	3
1309035.0	1	1	3	1	5
1309035.0	1	1	7	2	5
1309035.0	1	1	1	3	3
1309035.0	1	1	8	4	4
1309034.0	1	1	3	1	1
1309034.0	1	1	4	2	1
1309034.0	1	1	1	3	2
1309034.0	1	1	8	4	4
1334029.0	1	1	1	1	2
1334029.0	1	1	3	2	5
1334029.0	1	1	4	3	8
1334029.0	1	1	7	4	6
1334029.0	1	1	8	5	4
1334006.0	1	1	1	1	3
1334006.0	1	1	3	2	4
1334006.0	1	1	4	3	6
1334006.0	1	1	8	4	4
1334053.0	1	1	3	1	4
1334053.0	1	1	4	2	6
1334053.0	1	1	5	3	6
1334053.0	1	1	6	4	6
1335042.0	1	1	3	1	4
1335042.0	1	1	4	2	4
1335036.0	1	1	3	1	8
1335036.0	1	1	4	2	4
1335036.0	1	1	5	3	4
1335048.0	1	2	4	1	8
1335060.0	1	1	3	1	4
1335060.0	1	1	1	2	4
1335060.0	1	1	2	3	4
1335060.0	1	1	8	4	4
1335030.0	1	1	3	1	5
1335030.0	1	1	4	2	5
1336043.0	1	1	3	1	4
1336043.0	1	1	2	2	1
1336043.0	1	1	4	3	4
1336019.0	1	1	4	1	6
1336019.0	1	1	3	2	5
1336019.0	1	1	1	3	3
1336019.0	1	1	2	4	3
1336019.0	1	1	7	5	6
1336019.0	1	1	8	6	6
1336035.0	1	1	7	1	8
1336035.0	1	1	1	2	1
1336035.0	1	1	4	3	8
1336035.0	1	1	3	4	8
1336035.0	1	1	8	5	4
1336051.0	1	1	3	1	5
1336051.0	1	1	4	2	8
1336003.0	1	2	4	1	5
1336003.0	1	2	3	2	6
1337048.0	1	1	1	0	4
1337048.0	1	1	8	1	4
1337048.0	1	1	3	2	4
1337048.0	1	1	4	3	4
1338063.0	1	1	4	1	7
1338040.0	1	1	3	1	4
1338040.0	1	1	7	2	4
1338040.0	1	1	1	3	3
1338040.0	1	1	2	4	8
1338040.0	1	1	8	5	4
1281075.0	1	2	99		
1281024.0	1	1	99		
1348008.0	1	1	4	1	4
1348008.0	1	1	3	2	4
1348008.0	1	1	7	3	4
1348008.0	1	1	1	4	2
1348008.0	1	1	8	5	4
1348061.0	1	1	3	1	4
1348061.0	1	1	4	2	4
1348061.0	1	1	1	3	3
1348061.0	1	1	7	4	4
1348061.0	1	1	8	5	4
1348012.0	1	1	3	1	5
1348012.0	1	1	1	2	4
1348012.0	1	1	7	3	6
1348012.0	1	1	8	4	4
1348058.0	1	2	4	1	5
1348058.0	1	2	3	2	5
1351027.0	1	1	3	1	4
1351027.0	1	1	1	2	2
1351027.0	1	1	4	3	5
1351027.0	1	1	8	4	4
1351066.0	1	1	1	1	2
1351066.0	1	1	3	2	4
1351066.0	1	1	7	3	5
1351066.0	1	1	8	4	4
1351076.0	1	1	3	1	5
1351076.0	1	1	1	2	2
1351076.0	1	1	7	3	6
1351076.0	1	1	8	4	4
1352004.0	1	1	99		
1353093.0	1	1	3	1	4
1353093.0	1	1	1	2	4
1353093.0	1	1	7	3	8
1353093.0	1	1	8	4	4
1353111.0	1	2	3	1	5
1353121.0	1	1	1	0	4
1353121.0	1	1	8	0	4
1353121.0	1	1	3	1	4
1353014.0	1	2	3	1	4
1354088.0	1	1	99		
1354013.0	1	1	99		
1354023.0	1	1	99		
1354056.0	1	1	99		
1354034.0	1	1	99		
1355009.0	1	1	4	1	3
1355009.0	1	1	5	2	3
1355009.0	1	1	2	3	2
1356060.0	1	1	1	1	2
1356060.0	1	1	3	2	4
1356060.0	1	1	4	3	4
1356060.0	1	1	7	4	1
1356060.0	1	1	2	5	2
1356060.0	1	1	8	6	4
1356018.0	1	1	3	1	2
1356018.0	1	1	4	2	2
1356018.0	1	1	1	3	2
1356018.0	1	1	2	4	4
1356018.0	1	1	8	5	4
1357003.0	1	1	3	1	4
1357003.0	1	1	7	2	4
1357061.0	1	2	3	1	8
1357029.0	1	1	3	1	4
1357029.0	1	1	1	2	8
1357029.0	1	1	8	3	4
1261034.0	1	1	4	1	4
1261034.0	1	1	5	2	4
1261034.0	1	1	3	3	4
1261034.0	1	1	2	4	2
1261034.0	1	1	1	5	2
1261034.0	1	1	8	6	4
1261102.0	1	1	4	1	4
1261113.0	1	1	1	1	1
1261113.0	1	1	3	2	2
1261113.0	1	1	8	3	4
1261113.0	1	1	2	4	4
1261113.0	1	1	6	5	3
1261011.0	1	1	3	1	4
1261011.0	1	1	4	2	4
1261011.0	1	1	1	3	2
1261011.0	1	1	8	4	4
1262031.0	1	1	7	1	4
1262031.0	1	1	4	2	4
1262031.0	1	1	1	3	3
1262031.0	1	1	3	4	4
1262031.0	1	1	2	5	4
1262031.0	1	1	8	6	4
1262009.0	1	1	3	1	4
1262009.0	1	1	7	2	1
1262009.0	1	1	4	3	3
1262009.0	1	1	1	4	3
1262009.0	1	1	2	5	3
1262009.0	1	1	8	6	4
1262050.0	1	1	1	0	1
1262050.0	1	1	2	0	1
1262050.0	1	1	3	0	2
1262050.0	1	1	4	0	2
1262050.0	1	1	8	0	4
1262050.0	1	1	9	0	2
1262072.0	1	1	3	0	2
1262072.0	1	1	4	0	2
1262021.0	1	1	3	1	4
1262021.0	1	1	7	2	2
1262021.0	1	1	4	3	4
1262021.0	1	1	1	4	8
1262021.0	1	1	2	5	2
1262021.0	1	1	8	6	4
1289016.0	1	1	3	1	8
1289016.0	1	1	4	2	8
1289016.0	1	1	7	3	4
1289016.0	1	1	8	4	4
1289016.0	1	1	1	5	2
1289016.0	1	1	2	6	4
1289016.0	1	1	5	7	4
1289040.0	1	1	4	0	2
1289040.0	1	1	5	0	3
1290009.0	1	1	3	1	3
1290009.0	1	1	1	2	2
1290009.0	1	1	8	3	4
1290009.0	1	1	2	4	3
1310046.0	1	1	3	1	5
1310046.0	1	1	4	2	5
1310046.0	1	1	1	3	2
1310046.0	1	1	8	4	4
1310065.0	1	1	4	1	4
1310065.0	1	1	3	2	4
1311004.0	1	1	3	1	8
1311049.0	1	1	3	1	7
1311108.0	1	1	3	1	8
1311123.0	1	2	4	1	8
1311123.0	1	2	6	2	8
1311019.0	1	1	4	1	8
1311019.0	1	1	3	2	4
1311046.0	1	1	3	1	4
1311138.0	1	2	3	1	8
1311138.0	1	2	4	2	8
1311093.0	1	1	3	1	4
1311093.0	1	1	1	2	3
1311093.0	1	1	4	3	6
1311093.0	1	1	8	4	4
7069.0	1	2	4	1	8
7150.0	1	1	3	1	8
7020.0	1	1	3	1	4
7020.0	1	1	4	2	4
7004.0	1	1	4	1	4
7004.0	1	1	3	2	4
11092.0	1	1	8	1	4
11059.0	1	1	3	1	4
11059.0	1	1	4	2	4
11059.0	1	1	1	3	4
11059.0	1	1	8	4	4
11158.0	1	1	3	1	5
11158.0	1	1	1	2	5
11158.0	1	1	4	3	5
11158.0	1	1	2	4	6
11158.0	1	1	8	5	4
11074.0	1	1	4	1	4
11109.0	1	1	3	1	3
11109.0	1	1	4	2	3
11109.0	1	1	1	3	3
11109.0	1	1	2	4	3
11109.0	1	1	7	5	3
11109.0	1	1	6	6	3
11109.0	1	1	8	7	4
11141.0	1	1	3	1	5
11141.0	1	1	1	2	4
11141.0	1	1	2	3	8
11141.0	1	1	8	4	4
1376042.0	1	1	4	1	5
1376042.0	1	1	3	2	5
1376091.0	1	1	8	0	4
1376091.0	1	1	1	1	3
1376091.0	1	1	3	2	4
1376091.0	1	1	4	3	4
1376018.0	1	2	4	1	4
1377036.0	1	2	3	1	7
1377015.0	1	1	1	0	2
1377015.0	1	1	3	0	3
1377015.0	1	1	4	0	8
1377015.0	1	1	8	0	4
1377089.0	1	1	1	0	1
1377089.0	1	1	3	0	4
1377089.0	1	1	4	0	4
1377089.0	1	1	7	0	4
1377089.0	1	1	8	0	4
2054.0	1	1	1	1	2
2054.0	1	1	8	2	4
2076.0	1	1	3	1	3
2076.0	1	1	8	2	4
2033.0	1	1	1	1	2
2033.0	1	1	3	2	5
2033.0	1	1	4	3	5
2033.0	1	1	8	4	4
2056.0	1	1	3	1	7
2011.0	1	2	4	1	7
12070.0	1	1	3	1	5
12070.0	1	1	4	2	5
12048.0	1	1	4	1	5
1370089.0	1	1	8	1	4
1370079.0	1	1	8	1	4
29026.0	1	1	1	1	2
29026.0	1	1	4	2	4
29026.0	1	1	3	3	3
29026.0	1	1	7	4	4
29026.0	1	1	2	5	2
29026.0	1	1	8	6	4
29106.0	1	1	1	0	2
29106.0	1	1	3	0	8
29106.0	1	1	4	0	8
29106.0	1	1	7	0	1
29106.0	1	1	8	0	4
29061.0	1	1	4	1	4
29061.0	1	1	2	2	3
1383138.0	1	1	4	1	4
1383138.0	1	1	3	2	4
1383138.0	1	1	1	3	1
1383138.0	1	1	8	4	4
1383013.0	1	1	3	1	4
1383060.0	1	1	3	1	4
1383060.0	1	1	4	2	4
1384133.0	1	1	5	1	8
1384133.0	1	1	1	2	4
1384133.0	1	1	4	3	4
1384133.0	1	1	8	4	4
1384115.0	1	1	3	1	3
1384115.0	1	1	4	2	3
1384044.0	1	2	4	1	5
1384044.0	1	2	3	2	5
1384044.0	1	2	1	3	3
1384044.0	1	2	2	4	3
1384044.0	1	2	8	5	4
139016.0	1	1	1	0	4
139016.0	1	1	2	0	3
139016.0	1	1	3	0	4
139016.0	1	1	4	0	4
139016.0	1	1	8	0	4
139050.0	1	1	1	0	2
139050.0	1	1	3	0	4
139050.0	1	1	4	0	4
139050.0	1	1	8	0	4
140036.0	1	1	3	1	8
140036.0	1	1	4	2	8
141093.0	1	1	4	1	2
141093.0	1	1	5	2	2
141093.0	1	1	1	3	2
141093.0	1	1	8	4	4
141069.0	1	1	4	1	8
146009.0	1	2	3	1	5
146009.0	1	2	4	2	4
146009.0	1	2	1	3	8
146009.0	1	2	7	4	8
146009.0	1	2	2	5	8
146009.0	1	2	8	6	4
146055.0	1	1	4	1	5
146079.0	1	1	4	1	4
147021.0	1	1	4	1	4
147009.0	1	2	4	1	8
1385027.0	1	1	1	0	8
1385027.0	1	1	2	0	8
1385027.0	1	1	4	0	8
1385027.0	1	1	7	0	8
1385027.0	1	1	8	0	4
1385039.0	1	1	7	1	4
1385087.0	1	2	4	1	5
1385087.0	1	2	5	2	5
1386029.0	1	1	3	1	8
1386029.0	1	1	4	2	8
1386029.0	1	1	1	3	4
1386029.0	1	1	2	4	8
1386029.0	1	1	6	5	8
1386029.0	1	1	8	6	4
1386060.0	1	1	4	1	8
1386060.0	1	1	3	2	8
1386060.0	1	1	1	3	8
1386060.0	1	1	6	4	8
1386060.0	1	1	2	5	8
1386060.0	1	1	7	6	8
1386060.0	1	1	8	7	8
1386010.0	1	1	4	1	8
1386010.0	1	1	3	2	8
1386003.0	1	1	4	1	4
1386023.0	1	1	3	1	4
1386023.0	1	1	4	2	4
1386023.0	1	1	1	3	2
1386023.0	1	1	8	4	4
1387154.0	1	2	4	1	8
1387108.0	1	1	4	1	4
1387108.0	1	1	3	2	8
1387108.0	1	1	1	3	8
1387108.0	1	1	2	4	8
1387108.0	1	1	8	5	4
1387092.0	1	2	4	1	5
1388073.0	1	1	4	1	5
1388073.0	1	1	3	2	5
1388073.0	1	1	1	3	2
1388073.0	1	1	6	4	8
1388073.0	1	1	7	5	1
1388073.0	1	1	2	6	4
1388073.0	1	1	8	7	4
1388027.0	1	1	3	1	2
1388027.0	1	1	7	2	3
1388027.0	1	1	1	3	2
1388027.0	1	1	2	4	2
1388027.0	1	1	8	5	4
1388049.0	1	2	4	1	6
1388049.0	1	2	3	2	6
56017.0	1	2	3	1	8
1389035.0	1	1	3	1	8
1389035.0	1	1	4	2	8
1389035.0	1	1	1	3	4
1389035.0	1	1	8	4	4
1389050.0	1	1	1	1	2
1389050.0	1	1	4	2	4
1389050.0	1	1	3	3	4
1389050.0	1	1	7	4	3
1389050.0	1	1	8	5	4
112081.0	1	1	4	1	2
112081.0	1	1	1	2	2
112081.0	1	1	2	3	2
112081.0	1	1	8	4	4
112005.0	1	1	3	1	2
112005.0	1	1	4	2	8
112005.0	1	1	1	3	2
112005.0	1	1	2	4	2
112005.0	1	1	8	5	4
113071.0	1	1	3	1	5
113001.0	1	1	1	1	4
113001.0	1	1	3	2	8
113001.0	1	1	4	3	8
113001.0	1	1	2	4	8
113001.0	1	1	8	5	4
1394047.0	1	1	3	1	8
1394047.0	1	1	4	2	8
1394046.0	1	1	4	1	4
1394046.0	1	1	3	2	4
1394046.0	1	1	1	3	3
1394046.0	1	1	8	4	4
1395019.0	1	1	4	1	3
1395019.0	1	1	7	2	3
1397035.0	1	1	4	1	5
1397055.0	1	1	3	1	4
1397055.0	1	1	4	2	4
1397055.0	1	1	1	3	2
1397055.0	1	1	2	4	4
1397055.0	1	1	8	5	4
1399049.0	1	1	1	1	3
1399049.0	1	1	4	2	5
1399049.0	1	1	2	3	3
1399049.0	1	1	3	4	5
1399049.0	1	1	8	5	4
1400115.0	1	1	4	1	4
1400115.0	1	1	1	2	2
1400115.0	1	1	2	3	3
1400115.0	1	1	8	4	4
1400102.0	1	1	4	1	5
1400102.0	1	1	3	2	5
1400102.0	1	1	1	3	3
1400102.0	1	1	2	4	3
1400102.0	1	1	8	5	4
1400076.0	1	1	3	1	3
1400076.0	1	1	4	2	3
1400089.0	1	1	5	0	4
1400089.0	1	1	8	0	4
1400089.0	1	1	3	1	2
1400089.0	1	1	4	2	2
1400089.0	1	1	1	3	2
1400089.0	1	1	2	4	2
1400089.0	1	1	7	5	4
1400049.0	1	1	4	1	4
1400049.0	1	1	3	2	4
1400002.0	1	1	4	1	8
1400002.0	1	1	3	2	8
1401023.0	1	1	3	1	4
1401023.0	1	1	4	2	4
1401001.0	1	2	4	1	8
1401068.0	1	1	3	1	4
1401016.0	1	1	3	1	4
1401016.0	1	1	4	2	4
1402122.0	1	1	3	1	4
1402122.0	1	1	4	2	4
1402024.0	1	1	4	1	8
1402024.0	1	1	1	2	4
1402024.0	1	1	2	3	8
1402024.0	1	1	8	4	4
1402061.0	1	1	1	1	2
1402061.0	1	1	3	2	3
1402061.0	1	1	7	3	4
1402061.0	1	1	2	4	4
1402061.0	1	1	4	5	5
1402061.0	1	1	8	6	4
1402098.0	1	1	4	1	5
1402098.0	1	1	3	2	5
1402049.0	1	1	1	0	8
1402049.0	1	1	3	0	8
1402049.0	1	1	4	0	8
1402049.0	1	1	8	0	4
1402037.0	1	1	1	1	2
1402037.0	1	1	4	2	8
1402037.0	1	1	3	3	8
1402037.0	1	1	7	4	2
1402037.0	1	1	8	5	4
94064.0	1	1	4	1	4
94064.0	1	1	3	2	6
94064.0	1	1	7	3	4
94064.0	1	1	1	4	8
94064.0	1	1	8	5	4
94081.0	1	1	4	1	3
94081.0	1	1	3	2	8
94030.0	1	1	3	1	4
94030.0	1	1	4	2	4
94013.0	1	1	4	1	4
94013.0	1	1	3	2	4
94013.0	1	1	1	3	3
94013.0	1	1	8	4	4
94047.0	1	1	1	1	2
94047.0	1	1	3	2	4
94047.0	1	1	2	3	4
94047.0	1	1	8	4	4
94047.0	1	1	4	5	4
94056.0	1	1	1	1	3
94056.0	1	1	3	2	8
94056.0	1	1	4	3	8
94056.0	1	1	8	4	4
1398055.0	1	2	4	1	5
1398038.0	1	1	1	1	1
1398038.0	1	1	3	2	2
1398038.0	1	1	8	3	4
1398046.0	1	2	4	1	8
1398012.0	1	1	1	1	8
1398012.0	1	1	2	2	8
1398012.0	1	1	3	3	8
1398012.0	1	1	4	4	8
1398012.0	1	1	8	5	4
1398020.0	1	1	3	0	8
1398020.0	1	1	8	0	4
1398020.0	1	1	1	1	8
1398020.0	1	1	4	2	8
1398020.0	1	1	2	3	8
1398072.0	1	2	4	1	8
137036.0	1	1	4	1	5
138021.0	1	1	4	1	4
138044.0	1	1	3	1	4
138044.0	1	1	4	2	5
138056.0	1	1	4	1	5
138091.0	1	1	4	1	4
138091.0	1	1	3	2	8
1405002.0	1	1	3	1	4
1405002.0	1	1	4	2	8
1405002.0	1	1	8	3	2
1405038.0	1	2	4	1	5
1405038.0	1	2	3	2	7
1405066.0	1	1	3	1	4
1405048.0	1	1	3	1	5
1405029.0	1	1	4	1	3
1405029.0	1	1	3	2	4
1405029.0	1	1	6	3	4
1405029.0	1	1	7	4	4
1405020.0	1	1	4	1	4
1405020.0	1	1	3	2	4
1405020.0	1	1	1	3	8
1405020.0	1	1	2	4	8
1405020.0	1	1	7	5	8
1405020.0	1	1	8	6	8
1405020.0	1	1	6	7	8
1405020.0	1	1	9	8	8
1405057.0	1	1	3	1	4
1405057.0	1	1	4	2	4
1405057.0	1	1	6	3	4
1406089.0	1	1	3	1	4
1406089.0	1	1	4	2	8
1406089.0	1	1	1	3	8
1406089.0	1	1	8	4	4
1406079.0	1	1	3	1	4
1406079.0	1	1	1	2	4
1406079.0	1	1	4	3	5
1406079.0	1	1	8	4	4
1406069.0	1	1	3	1	2
1406069.0	1	1	2	2	2
1406069.0	1	1	5	3	2
1406029.0	1	1	4	1	4
1406009.0	1	2	3	1	5
1406049.0	1	1	4	1	5
1406049.0	1	1	3	2	4
1406049.0	1	1	1	3	2
1406049.0	1	1	8	4	4
1406085.0	1	1	4	1	5
1407014.0	1	1	4	1	8
1408068.0	1	1	3	1	5
1408068.0	1	1	4	2	6
1408068.0	1	1	7	3	4
1408068.0	1	1	1	4	4
1408068.0	1	1	2	5	4
1408068.0	1	1	8	6	4
1408059.0	1	1	3	1	6
1408022.0	1	1	99		
1409042.0	1	1	4	1	4
1409042.0	1	1	7	2	4
1409042.0	1	1	1	3	3
1409042.0	1	1	2	4	4
1409042.0	1	1	3	5	3
1409042.0	1	1	8	6	4
1409003.0	1	1	3	1	8
1409011.0	1	1	3	1	8
1409011.0	1	1	4	2	8
1409019.0	1	1	7	1	3
1409019.0	1	1	1	2	4
1409019.0	1	1	3	3	4
1409019.0	1	1	2	4	8
1409019.0	1	1	8	5	4
1410075.0	1	1	3	1	4
1410075.0	1	1	4	2	4
1410089.0	1	1	4	1	8
1410089.0	1	1	3	2	4
1410089.0	1	1	7	3	2
1410132.0	1	1	2	0	8
1410132.0	1	1	3	0	3
1411044.0	1	1	4	1	8
1411066.0	1	1	7	1	4
1411066.0	1	1	4	2	4
1411066.0	1	1	3	3	4
1411011.0	1	1	7	1	4
1411011.0	1	1	3	2	4
1411082.0	1	2	3	1	5
1412087.0	1	1	3	1	4
1412087.0	1	1	4	2	4
1412087.0	1	1	6	3	5
1412100.0	1	1	4	1	8
1412114.0	1	2	3	1	6
1412128.0	1	2	4	1	8
1412004.0	1	1	3	1	4
1412004.0	1	1	4	2	4
1413037.0	1	1	4	1	8
1413037.0	1	1	1	2	4
1413037.0	1	1	3	3	4
1413037.0	1	1	2	4	5
1413037.0	1	1	8	5	4
1413102.0	1	1	4	1	4
1413102.0	1	1	3	2	4
1413102.0	1	1	1	3	4
